=== DEBUG SESSION START: 2025年 11月 30日 日曜日 14:25:14     ===
Session initialized
SERVICE: test-service
VERSION.ID: 20251129t115945
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:01:52+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t121947
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:20:52+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t122909
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:29:51+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t123810
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:39:00+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t124322
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:44:10+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t125407
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:54:48+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t125817
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T12:58:57+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t130209
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:02:57+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t130618
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:06:56+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t131041
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:11:25+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t131445
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:15:27+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t132020
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:21:02+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t134036
TRAFFIC_SPLIT: 0.00
LAST_DEPLOYED: 2025-11-29T13:41:19+09:00
SERVING_STATUS: STOPPED

SERVICE: test-service
VERSION.ID: 20251129t143720
